Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,148.25,143.875,148.25,145.4375,8164300.0,98.95903015136719
2000-01-04,144.0625,139.640625,143.53125,139.75,8089800.0,95.08910369873047
2000-01-05,141.53125,137.25,139.9375,140.0,12177900.0,95.25919342041016
2000-01-06,141.5,137.75,139.625,137.75,6227200.0,93.7282485961914
2000-01-07,145.75,140.0625,140.3125,145.75,8066500.0,99.17163848876953
2000-01-10,146.90625,145.03125,146.25,146.25,5741700.0,99.5118408203125
2000-01-11,146.09375,143.5,145.8125,144.5,7503700.0,98.32109832763672
2000-01-12,144.59375,142.875,144.59375,143.0625,6907700.0,97.34297943115234
2000-01-13,145.75,143.28125,144.46875,145.0,5158300.0,98.66130065917969
2000-01-14,147.46875,145.96875,146.53125,146.96875,7437300.0,100.00088500976562
2000-01-18,146.625,145.1875,145.34375,145.8125,6488500.0,99.21415710449219
2000-01-19,147.0,145.0,145.3125,147.0,6157900.0,100.02217102050781
2000-01-20,146.96875,143.8125,146.96875,144.75,5800100.0,98.4912109375
2000-01-21,145.5,144.0625,145.5,144.4375,6244800.0,98.27855682373047
2000-01-24,145.84375,139.40625,145.65625,140.34375,7896900.0,95.49311828613281
2000-01-25,141.9375,139.0,140.515625,141.9375,9942500.0,96.57755279541016
2000-01-26,141.546875,140.09375,141.0,140.8125,5158100.0,95.81202697753906
2000-01-27,142.21875,138.125,141.84375,140.25,10922700.0,95.42931365966797
2000-01-28,140.0625,135.53125,139.4375,135.875,11916200.0,92.45245361328125
2000-01-31,139.671875,135.0,135.8125,139.5625,10768700.0,94.9615249633789
2000-02-01,141.6875,138.53125,139.75,140.9375,8419900.0,95.89714050292969
2000-02-02,142.25,140.375,141.28125,141.0625,6205900.0,95.982177734375
2000-02-03,143.25,140.0,140.875,143.1875,7997500.0,97.42804718017578
2000-02-04,144.0,142.125,143.1875,142.59375,4925400.0,97.02405548095703
2000-02-07,142.78125,141.4375,142.5625,142.375,5845800.0,96.87522888183594
2000-02-08,144.5625,143.625,143.96875,144.3125,4936400.0,98.19351196289062
2000-02-09,144.46875,141.265625,144.46875,141.28125,8511500.0,96.1310043334961
2000-02-10,142.5625,140.875,141.625,141.5625,6690600.0,96.3223876953125
2000-02-11,141.9375,138.03125,141.84375,138.6875,9849800.0,94.36614990234375
2000-02-14,139.78125,138.3125,139.78125,139.5,8528800.0,94.91900634765625
2000-02-15,141.21875,137.796875,139.25,141.078125,11078300.0,95.99279022216797
2000-02-16,140.9375,138.796875,140.375,139.0,8845400.0,94.57880401611328
2000-02-17,140.4375,138.21875,140.4375,138.28125,7584200.0,94.0897216796875
2000-02-18,138.875,134.625,138.875,135.3125,9409200.0,92.06975555419922
2000-02-22,136.34375,133.53125,135.1875,134.96875,16415400.0,91.83583068847656
2000-02-23,137.46875,134.5,135.625,136.5625,12119000.0,92.92027282714844
2000-02-24,137.03125,133.09375,136.6875,133.8125,17375000.0,91.04910278320312
2000-02-25,136.71875,133.125,135.1875,133.328125,10559900.0,90.71951293945312
2000-02-28,136.6875,132.71875,133.375,136.125,13397800.0,92.6225814819336
2000-02-29,137.4375,135.75,136.0625,137.4375,8242500.0,93.51561737060547
2000-03-01,139.0,137.21875,137.625,138.4375,6868000.0,94.19607543945312
2000-03-02,139.125,137.34375,138.6875,138.53125,7600200.0,94.2598648071289
2000-03-03,141.71875,139.71875,140.4375,141.125,12770300.0,96.02470397949219
2000-03-06,141.34375,138.75,140.8125,139.75,11967100.0,95.08910369873047
2000-03-07,140.15625,135.21875,140.0,137.046875,20062000.0,93.2498550415039
2000-03-08,137.84375,135.03125,136.46875,136.875,11808500.0,93.13289642333984
2000-03-09,140.875,136.125,137.25,140.875,5500900.0,95.85457611083984
2000-03-10,142.0,139.53125,140.1875,140.125,7924600.0,95.34430694580078
2000-03-13,140.46875,135.6875,136.6875,138.59375,10540500.0,94.30239868164062
2000-03-14,140.09375,136.15625,139.28125,136.625,8263900.0,92.96276092529297
2000-03-15,140.4375,136.0625,136.875,139.8125,10300800.0,95.13162994384766
2000-03-16,146.84375,140.875,141.625,146.34375,25601400.0,99.57564544677734
2000-03-17,148.0,145.4375,145.8125,146.9375,10272900.0,100.23374938964844
2000-03-20,147.34375,144.78125,146.875,146.1875,12502300.0,99.72212219238281
2000-03-21,149.75,144.5,145.53125,149.1875,13612600.0,101.76860809326172
2000-03-22,150.84375,148.6875,149.5625,150.09375,8260000.0,102.38681030273438
2000-03-23,153.46875,149.15625,149.15625,152.65625,11654500.0,104.13479614257812
2000-03-24,155.75,151.71875,152.875,153.5625,11462900.0,104.75299072265625
2000-03-27,153.78125,151.8125,153.375,151.9375,8798600.0,103.64450073242188
2000-03-28,152.984375,150.59375,151.25,151.0625,6334400.0,103.04761505126953
2000-03-29,152.484375,149.65625,151.5625,151.21875,6747500.0,103.15423583984375
